"","name","value"
"1",1,"1_ITS2"
"2",2,"11_ITS2"
"3",3,"12_ITS2"
"4",4,"13_ITS2"
"5",5,"15_ITS2"
"6",6,"16_ITS2"
"7",7,"17_ITS2"
"8",8,"19_ITS2"
"9",9,"2_ITS2"
"10",10,"20_ITS2"
"11",11,"21_ITS2"
"12",12,"23_ITS2"
"13",13,"24_ITS2"
"14",14,"25_ITS2"
"15",15,"28_ITS2"
"16",16,"29_ITS2"
"17",17,"3_ITS2"
"18",18,"30_ITS2"
"19",19,"31_ITS2"
"20",20,"32_ITS2"
"21",21,"33_ITS2"
"22",22,"34_ITS2"
"23",23,"35_ITS2"
"24",24,"36_ITS2"
"25",25,"37_ITS2"
"26",26,"38_ITS2"
"27",27,"39_ITS2"
"28",28,"4_ITS2"
"29",29,"40_ITS2"
"30",30,"41_ITS2"
"31",31,"42_ITS2"
"32",32,"45_ITS2"
"33",33,"46_ITS2"
"34",34,"47_ITS2"
"35",35,"48_ITS2"
"36",36,"49_ITS2"
"37",37,"5_ITS2"
"38",38,"50_ITS2"
"39",39,"PCR_negative_control_ITS2_H_Curtin16"
"40",40,"114_ITS2"
"41",41,"115_ITS2"
"42",42,"116_ITS2"
"43",43,"117_ITS2"
"44",44,"118_ITS2"
"45",45,"119_ITS2"
"46",46,"120_ITS2"
"47",47,"121_ITS2"
"48",48,"122_ITS2"
"49",49,"123_ITS2"
"50",50,"124_ITS2"
"51",51,"125_ITS2"
"52",52,"126_ITS2"
"53",53,"127_ITS2"
"54",54,"128_ITS2"
"55",55,"129_ITS2"
"56",56,"130_ITS2"
"57",57,"131_ITS2"
"58",58,"132_ITS2"
"59",59,"133_ITS2"
"60",60,"134_ITS2"
"61",61,"135_ITS2"
"62",62,"136_ITS2"
"63",63,"137_ITS2"
"64",64,"138_ITS2"
"65",65,"139_ITS2"
"66",66,"140_ITS2"
"67",67,"141_ITS2"
"68",68,"142_ITS2"
"69",69,"143_ITS2"
"70",70,"144_ITS2"
"71",71,"145_ITS2"
"72",72,"146_ITS2"
"73",73,"147_ITS2"
"74",74,"148_ITS2"
"75",75,"149_ITS2"
"76",76,"150_ITS2"
"77",77,"151_ITS2"
"78",78,"152_ITS2"
"79",79,"153_ITS2"
"80",80,"154_ITS2"
"81",81,"155_ITS2"
"82",82,"156_ITS2"
"83",83,"157_ITS2"
"84",84,"158_ITS2"
"85",85,"159_ITS2"
"86",86,"160_ITS2"
"87",87,"161_ITS2"
"88",88,"162_ITS2"
"89",89,"163_ITS2"
"90",90,"164_ITS2"
"91",91,"165_ITS2"
"92",92,"166_ITS2"
"93",93,"167_ITS2"
"94",94,"168_ITS2"
"95",95,"169_ITS2"
"96",96,"170_ITS2"
"97",97,"54_ITS2"
"98",98,"55_ITS2"
"99",99,"56_ITS2"
"100",100,"57_ITS2"
"101",101,"58_ITS2"
"102",102,"59_ITS2"
"103",103,"60_ITS2"
"104",104,"61_ITS2"
"105",105,"62_ITS2"
"106",106,"63_ITS2"
"107",107,"64_ITS2"
"108",108,"65_ITS2"
"109",109,"66_ITS2"
"110",110,"67_ITS2"
"111",111,"68_ITS2"
"112",112,"69_ITS2"
"113",113,"70_ITS2"
"114",114,"71_ITS2"
"115",115,"72_ITS2"
"116",116,"73_ITS2"
"117",117,"74_ITS2"
"118",118,"PCR_negative_control_ITS2_E_H15"
"119",119,"PCR_negative_control_ITS2_E_H16"
"120",120,"PCR_negative_control_ITS2_H_H"
"121",121,"100_ITS2"
"122",122,"101_ITS2"
"123",123,"102_ITS2"
"124",124,"103_ITS2"
"125",125,"104_ITS2"
"126",126,"105_ITS2"
"127",127,"106_ITS2"
"128",128,"107_ITS2"
"129",129,"108_ITS2"
"130",130,"109_ITS2"
"131",131,"110_ITS2"
"132",132,"111_ITS2"
"133",133,"112_ITS2"
"134",134,"113_ITS2"
"135",135,"171_ITS2"
"136",136,"172_ITS2"
"137",137,"173_ITS2"
"138",138,"174_ITS2"
"139",139,"175_ITS2"
"140",140,"176_ITS2"
"141",141,"177_ITS2"
"142",142,"178_ITS2"
"143",143,"179_ITS2"
"144",144,"180_ITS2"
"145",145,"181_ITS2"
"146",146,"182_ITS2"
"147",147,"184_ITS2"
"148",148,"185_ITS2"
"149",149,"186_ITS2"
"150",150,"187_ITS2"
"151",151,"188_ITS2"
"152",152,"189_ITS2"
"153",153,"190_ITS2"
"154",154,"191_ITS2"
"155",155,"192_ITS2"
"156",156,"193_ITS2"
"157",157,"194_ITS2"
"158",158,"195_ITS2"
"159",159,"196_ITS2"
"160",160,"197_ITS2"
"161",161,"198_ITS2"
"162",162,"199_ITS2"
"163",163,"200_ITS2"
"164",164,"201_ITS2"
"165",165,"202_ITS2"
"166",166,"203_ITS2"
"167",167,"204_ITS2"
"168",168,"205_ITS2"
"169",169,"206_ITS2"
"170",170,"207_ITS2"
"171",171,"208_ITS2"
"172",172,"209_ITS2"
"173",173,"210_ITS2"
"174",174,"211_ITS2"
"175",175,"213_ITS2"
"176",176,"214_ITS2"
"177",177,"215_ITS2"
"178",178,"216_ITS2"
"179",179,"217_ITS2"
"180",180,"218_ITS2"
"181",181,"219_ITS2"
"182",182,"220_ITS2"
"183",183,"221_ITS2"
"184",184,"222_ITS2"
"185",185,"223_ITS2"
"186",186,"224_ITS2"
"187",187,"225_ITS2"
"188",188,"226_ITS2"
"189",189,"227_ITS2"
"190",190,"75_ITS2"
"191",191,"76_ITS2"
"192",192,"77_ITS2"
"193",193,"78_ITS2"
"194",194,"79_ITS2"
"195",195,"80_ITS2"
"196",196,"81_ITS2"
"197",197,"82_ITS2"
"198",198,"83_ITS2"
"199",199,"84_ITS2"
"200",200,"85_ITS2"
"201",201,"86_ITS2"
"202",202,"87_ITS2"
"203",203,"88_ITS2"
"204",204,"89_ITS2"
"205",205,"90_ITS2"
"206",206,"91_ITS2"
"207",207,"92_ITS2"
"208",208,"93_ITS2"
"209",209,"94_ITS2"
"210",210,"95_ITS2"
"211",211,"96_ITS2"
"212",212,"97_ITS2"
"213",213,"98_ITS2"
"214",214,"99_ITS2"
"215",215,"PCR_negative_control_ITS2_E_S15"
"216",216,"PCR_negative_control_ITS2_E_S16"
"217",217,"PCR_negative_control_ITS2_H_S"
"218",218,"124_ITS2Re"
"219",219,"161_ITS2Re"
"220",220,"180_ITS2Re"
"221",221,"181_ITS2Re"
"222",222,"182_ITS2Re"
"223",223,"184_ITS2Re"
"224",224,"209_ITS2Re"
"225",225,"211_ITS2Re"
"226",226,"213_ITS2Re"
"227",227,"218_ITS2Re"
"228",228,"219_ITS2Re"
"229",229,"221_ITS2Re"
"230",230,"223_ITS2Re"
"231",231,"224_ITS2Re"
"232",232,"225_ITS2Re"
"233",233,"226_ITS2Re"
"234",234,"227_ITS2Re"
"235",235,"CCMP_2430"
"236",236,"CCMP_2434"
"237",237,"CCMP_2461"
"238",238,"CCMP_2469"
"239",239,"CCMP_2548"
"240",240,"CCMP_2556"
"241",241,"CCMP_2592"
"242",242,"Cult_133"
"243",243,"Cult_135"
"244",244,"Cult_152"
"245",245,"Cult_24_Sugget"
"246",246,"Cult_28_Sugget"
"247",247,"Cult_29_Sugget"
"248",248,"Cult_37_Sugget"
"249",249,"Cult_40_Sugget"
"250",250,"Cult_RD03"
"251",251,"RB7"
"252",252,"SV_FL_1"
"253",253,"SV_IC"
